"","Name","Owner","Created","Pushed","Watchers","Forks","CRAN","Package","YearCreated"
"263","quickcheck","RevolutionAnalytics","2013-02-05","2015-06-13",38,13,NA,"Other","2013"
"264","captioner","adletaw","2014-12-01","2015-08-25",38,8,"2015-07-16","CRAN","2014"
"265","stm","bstewart","2014-02-04","2015-08-29",38,8,"2015-07-28","CRAN","2014"
"266","rsqlserver","agstudy","2013-11-01","2015-07-22",38,17,NA,"Other","2013"
"267","Datadives","datakind","2011-10-17","2012-05-12",38,15,NA,"Other","2011"
"268","DBI","rstats-db","2013-10-16","2015-07-18",38,11,"2014-09-24","CRAN","2013"
"269","servr","yihui","2013-09-13","2015-08-10",38,7,"2015-03-30","CRAN","2013"
"270","fitbitScraper","corynissen","2015-01-22","2015-07-01",38,10,"2015-07-01","CRAN","2015"
"271","AAA2011-Tweets","benmarwick","2011-12-14","2013-11-20",37,45,NA,"Other","2011"
"272","CIDA-Viz","USGS-CIDA","2014-08-29","2015-08-27",37,32,NA,"Other","2014"
"273","Rdataviz","pablobarbera","2013-10-11","2014-03-06",37,44,NA,"Other","2013"
"274","twitterchive","stephenturner","2013-03-12","2015-03-25",37,12,NA,"Other","2013"
"275","globalnamedata","OpenGenderTracking","2013-03-05","2013-10-24",37,3,NA,"Other","2013"
"276","pecan","PecanProject","2012-11-25","2015-09-01",37,63,NA,"Other","2012"
"277","IKTrading","IlyaKipnis","2014-05-24","2015-02-03",37,41,NA,"Other","2014"
"278","DeviumWeb","dgrapov","2014-01-03","2015-05-14",37,23,NA,"Other","2014"
"279","import","smbache","2015-03-06","2015-06-29",37,2,"2015-06-22","CRAN","2015"
"280","shinyRGL","trestletech","2013-08-31","2015-06-29",36,16,"2013-10-13","CRAN","2013"
"281","ballgown","alyssafrazee","2013-04-18","2015-06-29",36,20,NA,"Other","2013"
"282","shiny-jsdemo","wch","2013-05-15","2013-06-03",36,28,NA,"Other","2013"
"283","vadr","crowding","2012-09-23","2015-07-01",36,1,NA,"Other","2012"
"284","JSTORr","benmarwick","2013-04-24","2015-08-19",36,12,NA,"Other","2013"
