"","week","author","commits","total","project_total"
"647",30,"jrnold",0,0,12
"648",30,"davidmorrison",0,0,12
"649",30,"djmurphy420",0,0,12
"650",30,"wligtenberg",0,0,12
"651",30,"baptiste",0,0,12
"652",30,"jimhester",0,0,12
"653",30,"krlmlr",0,0,12
"654",30,"jiho",0,0,12
"655",30,"joranE",0,0,12
"656",30,"BrianDiggs",0,0,12
"657",30,"JakeRuss",0,0,12
"658",30,"kohske",0,0,12
"659",30,"wch",0,0,12
"660",30,"hadley",12,21041,12
"661",31,"rasmusab",0,0,736
"662",31,"kloesing",0,0,736
"663",31,"briandk",0,0,736
"664",31,"dariobuttari",0,0,736
"665",31,"yihui",0,0,736
"666",31,"lehy",0,0,736
"667",31,"crowding",0,0,736
"668",31,"lianos",0,0,736
"669",31,"jrnold",0,0,736
"670",31,"davidmorrison",0,0,736
"671",31,"djmurphy420",0,0,736
"672",31,"wligtenberg",0,0,736
"673",31,"baptiste",0,0,736
"674",31,"jimhester",0,0,736
"675",31,"krlmlr",0,0,736
"676",31,"jiho",0,0,736
"677",31,"joranE",0,0,736
"678",31,"BrianDiggs",0,0,736
"679",31,"JakeRuss",0,0,736
"680",31,"kohske",0,0,736
"681",31,"wch",0,0,736
"682",31,"hadley",736,21777,736
"683",32,"rasmusab",0,0,710
"684",32,"kloesing",0,0,710
"685",32,"briandk",0,0,710
"686",32,"dariobuttari",0,0,710
"687",32,"yihui",0,0,710
"688",32,"lehy",0,0,710
"689",32,"crowding",0,0,710
"690",32,"lianos",0,0,710
"691",32,"jrnold",0,0,710
"692",32,"davidmorrison",0,0,710
"693",32,"djmurphy420",0,0,710
"694",32,"wligtenberg",0,0,710
"695",32,"baptiste",0,0,710
"696",32,"jimhester",0,0,710
"697",32,"krlmlr",0,0,710
"698",32,"jiho",0,0,710
"699",32,"joranE",0,0,710
"700",32,"BrianDiggs",0,0,710
"701",32,"JakeRuss",0,0,710
"702",32,"kohske",0,0,710
"703",32,"wch",0,0,710
"704",32,"hadley",710,22487,710
"705",33,"rasmusab",0,0,67
"706",33,"kloesing",0,0,67
"707",33,"briandk",0,0,67
"708",33,"dariobuttari",0,0,67
"709",33,"yihui",0,0,67
"710",33,"lehy",0,0,67
"711",33,"crowding",0,0,67
"712",33,"lianos",0,0,67
"713",33,"jrnold",0,0,67
"714",33,"davidmorrison",0,0,67
"715",33,"djmurphy420",0,0,67
"716",33,"wligtenberg",0,0,67
"717",33,"baptiste",0,0,67
"718",33,"jimhester",0,0,67
"719",33,"krlmlr",0,0,67
